district,province,n_schools,avg_classroom_size,pct_double_shift,pct_electricity,pct_internet,pct_computer,avg_leadership_marks,avg_leader_records,pct_urban,actual_pass_rate
Bugesera,East,107,57.3,17.8,100.0,97.2,28.0,78.3,1.51,5.6,62.3
Burera,North,83,60.4,19.3,100.0,92.8,32.5,75.4,1.45,2.4,45.1
Gakenke,North,92,60.1,17.4,100.0,98.9,32.6,77.4,1.44,3.3,55.5
Gasabo,Kigali City,102,52.4,10.8,100.0,100.0,29.4,76.5,1.49,59.8,73.1
Gatsibo,East,117,60.3,15.4,100.0,100.0,39.3,69.9,1.55,1.7,61.1
Gicumbi,North,120,60.8,15.8,100.0,100.0,30.0,73.6,1.54,5.0,59.6
Gisagara,South,78,61.2,24.4,100.0,100.0,26.9,77.0,1.36,1.3,62.1
Huye,South,78,57.9,17.9,100.0,98.7,26.9,68.9,1.41,20.5,67.8
Kamonyi,South,108,55.8,13.0,100.0,97.2,31.5,75.0,1.57,7.4,69.4
Karongi,West,92,57.7,16.3,100.0,95.7,27.2,75.6,1.47,6.5,61.7
Kayonza,East,81,57.5,23.5,100.0,100.0,25.9,79.2,1.24,8.6,67.6
Kicukiro,Kigali City,48,56.6,18.8,100.0,100.0,41.7,77.2,1.58,93.8,73.8
Kirehe,East,90,59.9,15.6,100.0,100.0,40.0,81.1,1.4,0.0,63.5
Muhanga,South,83,57.8,12.0,100.0,100.0,28.9,76.2,1.32,16.9,55.8
Musanze,North,92,58.3,18.5,100.0,96.7,32.6,76.1,1.51,21.7,56.8
Ngoma,East,74,58.8,9.5,100.0,98.6,32.4,76.1,1.51,9.5,68.3
Ngororero,West,84,58.9,19.0,100.0,98.8,26.2,67.2,1.38,0.0,60.1
Nyabihu,West,75,58.7,16.0,100.0,98.7,32.0,76.2,1.38,2.7,61.2
Nyagatare,East,92,60.6,12.0,100.0,93.5,46.7,76.5,1.32,5.4,54.4
Nyamagabe,South,61,58.0,11.5,100.0,93.4,42.6,76.8,1.52,6.6,58.4
Nyamasheke,West,116,58.1,15.5,100.0,97.4,32.8,80.3,1.38,4.3,55.6
Nyanza,South,84,59.8,13.1,100.0,98.8,32.1,77.6,1.27,9.5,72.1
Nyarugenge,Kigali City,43,54.9,18.6,100.0,100.0,39.5,76.8,1.56,93.0,75.8
Nyaruguru,South,87,59.1,23.0,100.0,98.9,29.9,74.8,1.31,1.1,66.2
Rubavu,West,91,59.7,14.3,100.0,98.9,42.9,70.9,1.51,26.4,64.8
Ruhango,South,85,57.6,20.0,100.0,100.0,29.4,77.1,1.37,15.3,63.1
Rulindo,North,88,60.1,18.2,100.0,100.0,42.0,71.5,1.75,0.0,59.8
Rusizi,West,111,58.6,11.7,100.0,94.6,39.6,77.8,1.35,10.8,53.6
Rutsiro,West,94,59.8,16.0,100.0,97.9,30.9,77.1,1.49,1.1,56.9
Rwamagana,East,79,59.1,19.0,100.0,98.7,40.5,79.0,1.64,6.3,66.0
