school_code,school_name,province,district,Sector,school_location,school_status,school_settings,perc_with_50andplus,on_grid_electricity,has_internet,has_computer_access,avg_classroom_size_2024_25,double_shift,Leadership_marks_avg,Num_leader_records
110103,EP GITEGA,Kigali City,Nyarugenge,Gitega,URBAN,PUBLIC,Preprimary + Primary,69.12113952636719,1.0,1,0.0,64.0,0.0,69.4922365210585,1.0
110104,GS CYAHAFI,Kigali City,Nyarugenge,Gitega,URBAN,PUBLIC,Preprimary + Primary + Ordinal Level + TVET,68.22784423828125,1.0,1,1.0,64.0,0.0,78.77891825239564,2.0
110201,GS KANYINYA,Kigali City,Nyarugenge,Kanyinya,URBAN,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + General upper secondary,73.45924377441406,1.0,1,1.0,58.0,0.0,80.96903693564616,2.0
110202,GS NZOVE,Kigali City,Nyarugenge,Kanyinya,URBAN,PUBLIC,Preprimary + Primary + Ordinal Level,43.47399520874023,1.0,1,0.0,64.0,0.0,69.39771002974274,2.0
110204,EP NYAMWERU,Kigali City,Nyarugenge,Kanyinya,URBAN,PUBLIC,Preprimary + Primary,57.16846084594727,1.0,1,0.0,64.0,1.0,58.6865912048814,1.0
110205,Star Shine school,Kigali City,Nyarugenge,Kanyinya,URBAN,PRIVATE,Preprimary + Primary,98.4375,1.0,1,0.0,32.0,0.0,,
110208,EP BIBUNGO,Kigali City,Nyarugenge,Kanyinya,URBAN,PUBLIC,Preprimary + Primary,69.77928924560547,1.0,1,0.0,64.0,1.0,86.4305031446541,1.0
110209,ORION SCHOOL,Kigali City,Nyarugenge,Kanyinya,URBAN,PRIVATE,Preprimary + Primary,96.15384674072266,1.0,1,0.0,32.0,0.0,,
110305,GS MWENDO,Kigali City,Nyarugenge,Kigali,URBAN,GOVERNMENT_AIDED,Preprimary + Primary + Ordinal Level + TVET,39.63210678100586,1.0,1,0.0,58.0,0.0,78.54949310021215,2.0
110306,GS KIGALI,Kigali City,Nyarugenge,Kigali,URBAN,PUBLIC,Primary + Ordinal Level + General upper secondary,65.1322250366211,1.0,1,1.0,64.0,0.0,72.73215395071671,2.0
110314,GS KARAMA,Kigali City,Nyarugenge,Kigali,URBAN,PUBLIC,Preprimary + Primary + Ordinal Level,73.12379455566406,1.0,1,1.0,64.0,1.0,77.06852788396085,2.0
110325,EP RWESERO,Kigali City,Nyarugenge,Kigali,URBAN,PUBLIC,Preprimary + Primary,56.53923797607422,1.0,1,0.0,64.0,0.0,67.4778639286565,1.0
110329,EP Karama EPR,Kigali City,Nyarugenge,Kigali,URBAN,GOVERNMENT_AIDED,Preprimary + Primary,59.05096435546875,1.0,1,0.0,58.0,0.0,,
110330,EP GATARE,Kigali City,Nyarugenge,Kigali,URBAN,PUBLIC,Preprimary + Primary,39.44773101806641,1.0,1,1.0,64.0,0.0,81.5437799808123,1.0
110335,Mothers Love ECD,Kigali City,Nyarugenge,Kigali,URBAN,PRIVATE,Preprimary + Primary,100.0,1.0,1,1.0,32.0,0.0,,
110336,Ecole Teton,Kigali City,Nyarugenge,Kigali,URBAN,PRIVATE,Preprimary + Primary,91.80327606201172,1.0,1,0.0,32.0,0.0,,
110401,APADERWA,Kigali City,Nyarugenge,Kimisagara,URBAN,PRIVATE,Preprimary + Primary,97.4842758178711,1.0,1,1.0,32.0,0.0,,
110402,APPEK KAMUHOZA,Kigali City,Nyarugenge,Kimisagara,URBAN,GOVERNMENT_AIDED,Preprimary + Primary,96.80000305175781,1.0,1,0.0,58.0,0.0,83.8669224066076,1.0
110404,ECOLE PRIMAIRE KAMUHOZA,Kigali City,Nyarugenge,Kimisagara,URBAN,GOVERNMENT_AIDED,Preprimary + Primary,74.76744079589844,1.0,1,0.0,58.0,0.0,77.8516160365217,1.0
110405,EP MUGANZA,Kigali City,Nyarugenge,Kimisagara,URBAN,PUBLIC,Preprimary + Primary,73.78048706054688,1.0,1,0.0,64.0,0.0,74.3445737641878,1.0
110406,GS KIMISAGARA,Kigali City,Nyarugenge,Kimisagara,URBAN,PUBLIC,Preprimary + Primary + Ordinal Level + General upper secondary,78.97563171386719,1.0,1,0.0,64.0,0.0,77.59973053792004,2.0
110415,ACPA NURSERY,Kigali City,Nyarugenge,Kimisagara,URBAN,PRIVATE,Preprimary + Primary,100.0,1.0,1,0.0,32.0,0.0,,
